time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
2015-11-01 00:00:00,22,0.14847303443794674,0.009655196409310741,0.06469298245614034,0.11028315946348735,0.025785188057386582,0.4581791714684296,0.4584183546508735,0.036115229824189785,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 00:10:00,22,0.12508122157244966,0.004961553181865627,0.0668859649122807,0.08401639344262296,0.02016285381930981,0.466428094862619,0.46518688100333455,0.050518957847913576,0.0,0.0,0.0,236.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 00:20:00,22,0.1211825860948668,0.004912842281061898,0.06030701754385964,0.08662444113263786,0.020841411399767352,0.4732213258931279,0.4707609615288907,0.06238085151450964,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 00:30:00,22,0.1377517868745939,0.004453568073483873,0.06798245614035088,0.10432190760059613,0.020841411399767352,0.6289197549584521,0.5985168964315931,0.3342512179622961,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 00:40:00,22,0.17153996101364524,0.04088932187467381,0.0668859649122807,0.11307749627421759,0.07512601783637068,0.4609692484988172,0.4607077091524412,0.040987079008684604,0.0,0.0,0.0,460.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 00:50:00,22,0.15399610136452244,0.029560558087749204,0.07127192982456139,0.11065573770491804,0.05661108956960062,0.45733001758961606,0.45772159458517897,0.03463249311586528,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 01:00:00,22,0.13710201429499677,0.012556974357190078,0.0625,0.10040983606557377,0.030341217526172935,0.4582398253169163,0.45846812322699454,0.03622113958907011,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 01:10:00,22,0.1423001949317739,0.013305034619533071,0.06798245614035088,0.09426229508196722,0.03150445909267158,0.4582398253169163,0.45846812322699454,0.03622113958907011,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 01:20:00,22,0.1533463287849253,0.02139452350300964,0.06469298245614034,0.09854694485842026,0.043912369135323766,0.4582398253169163,0.45846812322699454,0.03622113958907011,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 01:30:00,22,0.1556205328135153,0.022654048223791794,0.0668859649122807,0.09985096870342772,0.04585110507948817,0.4582398253169163,0.45846812322699454,0.03622113958907011,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 01:40:00,22,0.16569200779727097,0.03535367593333565,0.06469298245614034,0.12276453055141581,0.0656262117099651,0.45805786377145624,0.4583188174986314,0.035903410294429144,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 01:50:00,22,0.1819363222871995,0.048178560244946246,0.0625,0.1279806259314456,0.08549825513765025,0.456177594468369,0.4567759916388793,0.03262020758313916,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 02:00:00,22,0.19460688758934375,0.06418704985908633,0.06469298245614034,0.13617734724292102,0.11021713842574642,0.453266209741008,0.4543870999850695,0.027536538868883707,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 02:10:00,22,0.205003248862898,0.08295118471869455,0.06030701754385964,0.13152011922503726,0.1393951143854207,0.4490810941954267,0.4509530682327179,0.020228765092141495,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 02:20:00,22,0.20110461338531516,0.07690407431891723,0.06469298245614034,0.12891207153502235,0.12999224505622334,0.4505367865591071,0.4521475140596228,0.0226646896843889,0.0,8.75291418841036e-05,8.937833862418636e-05,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 02:30:00,22,0.2040285899935023,0.08235621585887756,0.06140350877192982,0.13766766020864382,0.13832880961613028,0.44902044034694,0.45090329965659687,0.02012285532726117,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 02:40:00,22,0.1972059779077323,0.0762534358581817,0.06469298245614034,0.12388226527570789,0.1289259402869329,0.4502941711651604,0.45194843975513865,0.022346960389747934,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 02:50:00,22,0.1910331384015595,0.06697052990501375,0.06359649122807016,0.13375558867362144,0.11457929430011632,0.452113786619761,0.45344149703876974,0.02552425333615759,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 03:00:00,22,0.18486029889538663,0.06066594760098813,0.06140350877192982,0.1302160953800298,0.10478867778208607,0.4538727482258749,0.45488478574627983,0.02859563651768693,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 03:10:00,22,0.17771280051981808,0.05886016492119272,0.06578947368421052,0.11400894187779434,0.10188057386583946,0.45399405592284825,0.4549843228985219,0.028807456047447576,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 03:20:00,22,0.1556205328135153,0.028558505271215336,0.07456140350877193,0.10599850968703428,0.0550601008142691,0.45775459452902284,0.45806997461802623,0.03537386147002754,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 03:30:00,22,0.14294996751137104,0.01325632371872934,0.06469298245614034,0.10227272727272727,0.031407522295463355,0.4581791714684296,0.4584183546508735,0.036115229824189785,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 03:40:00,22,0.1335282651072125,0.0058174732959883095,0.06359649122807016,0.08662444113263786,0.019775106630476928,0.4581791714684296,0.4584183546508735,0.036115229824189785,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 03:50:00,22,0.12313190383365823,0.004373543022163459,0.06469298245614034,0.08960506706408346,0.01987204342768515,0.4739491720749681,0.4713581844423431,0.0636517686930735,0.0,0.0,0.0,94.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 04:00:00,22,0.13515269655620535,0.007473643923315124,0.07017543859649122,0.09687034277198212,0.02500969367972082,0.4815915569842906,0.47762902503359383,0.07699639906799406,0.0,0.0,0.0,65.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 04:10:00,22,0.1478232618583496,0.019275599318047388,0.06469298245614034,0.10674366616989567,0.0407134548274525,0.45811851761994293,0.45836858607475245,0.03600932005930947,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 04:20:00,22,0.14262508122157247,0.012292543752826972,0.07017543859649122,0.10376304023845008,0.029856533540131833,0.45811851761994293,0.45836858607475245,0.03600932005930947,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 04:30:00,22,0.1455490578297596,0.023516927038029295,0.06469298245614034,0.09184053651266766,0.04720822024040326,0.45811851761994293,0.45836858607475245,0.03600932005930947,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 04:40:00,22,0.14944769330734245,0.018753696809435998,0.06578947368421052,0.10152757078986586,0.03993796044978674,0.45811851761994293,0.45836858607475245,0.03600932005930947,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 04:50:00,22,0.14944769330734245,0.019108590515291745,0.06469298245614034,0.11046944858420268,0.040228770841411396,0.45811851761994293,0.45836858607475245,0.03600932005930947,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01 05:00:00,22,0.1556205328135153,0.03197870637764866,0.06359649122807016,0.10618479880774961,0.06048856145792943,0.45811851761994293,0.45836858607475245,0.03600932005930947,0.0,0.0,0.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
